Twitter handle,Class,Count_Plan,Count_Actual,Done
foxnewspolitics,Politics - Conservative,500,500,TRUE
BreitbartNews,Politics - Conservative,500,500,TRUE
NEWSMAX,Politics - Conservative,500,500,TRUE
TheDCPolitics,Politics - Conservative,500,500,TRUE
OANN,Politics - Conservative,500,500,TRUE
realDailyWire,Politics - Conservative,500,500,TRUE
JesseBWatters,Politics - Conservative,500,500,TRUE
TuckerCarlson,Politics - Conservative,500,500,TRUE
JudgeJeanine,Politics - Conservative,500,500,TRUE
libsoftiktok,Politics - Conservative,500,500,TRUE
JackPosobiec,Politics - Conservative,500,500,TRUE
bennyjohnson,Politics - Conservative,500,500,TRUE
alx,Politics - Conservative,500,500,TRUE
stkirsch,Politics - Conservative,500,500,TRUE
DineshDSouza,Politics - Conservative,500,500,TRUE
GenFlynn,Politics - Conservative,500,500,TRUE
atensnut,Politics - Conservative,500,500,TRUE
jordanbpeterson,Politics - Conservative,500,500,TRUE
MattWalshBlog,Politics - Conservative,500,500,TRUE
MrAndyNgo,Politics - Conservative,500,500,TRUE
GovRonDeSantis,Politics - Conservative,500,500,TRUE
KariLake,Politics - Conservative,500,500,TRUE
RSBNetwork,Politics - Conservative,500,500,TRUE
kayleighmcenany,Politics - Conservative,500,500,TRUE
LifeNewsHQ,Politics - Conservative,500,500,TRUE
AustinScottGA08,Politics - Conservative,75,75,TRUE
boblatta,Politics - Conservative,75,75,TRUE
cathymcmorris,Politics - Conservative,75,75,TRUE
congbillposey,Politics - Conservative,75,75,TRUE
CongMikeSimpson,Politics - Conservative,75,75,TRUE
Congressman_JVD,Politics - Conservative,75,75,TRUE
CongressmanGT,Politics - Conservative,75,75,TRUE
CongressmanKean,Politics - Conservative,75,40,TRUE
DesJarlaisTN04,Politics - Conservative,75,75,TRUE
DrNealDunnFL2,Politics - Conservative,75,75,TRUE
GReschenthaler,Politics - Conservative,75,75,TRUE
JayObernolte,Politics - Conservative,75,75,TRUE
Jim_Jordan,Politics - Conservative,75,75,TRUE
JMoylanforGuam,Politics - Conservative,75,10,TRUE
JudgeCarter,Politics - Conservative,75,75,TRUE
KenCalvert,Politics - Conservative,75,75,TRUE
MarioDB,Politics - Conservative,75,75,TRUE
MarkAmodeiNV2,Politics - Conservative,75,75,TRUE
michaelcburgess,Politics - Conservative,75,75,TRUE
MikeKellyPA,Politics - Conservative,75,75,TRUE
PatrickMcHenry,Politics - Conservative,75,75,TRUE
PeteSessions,Politics - Conservative,75,75,TRUE
Rep_Clyde,Politics - Conservative,75,75,TRUE
rep_stevewomack,Politics - Conservative,75,75,TRUE
RepAaronBean,Politics - Conservative,75,17,TRUE
RepAdrianSmith,Politics - Conservative,75,75,TRUE
RepAlexMooney,Politics - Conservative,75,75,TRUE
RepAmata,Politics - Conservative,75,75,TRUE
RepAndyBarr,Politics - Conservative,75,75,TRUE
RepAndyBiggsAZ,Politics - Conservative,75,75,TRUE
RepAndyHarrisMD,Politics - Conservative,75,75,TRUE
RepAnnWagner,Politics - Conservative,75,75,TRUE
RepArmstrongND,Politics - Conservative,75,75,TRUE
RepArrington,Politics - Conservative,75,75,TRUE
RepAshleyHinson,Politics - Conservative,75,75,TRUE
RepBalderson,Politics - Conservative,75,75,TRUE
RepBarryMoore,Politics - Conservative,75,75,TRUE
RepBenCline,Politics - Conservative,75,75,TRUE
RepBentz,Politics - Conservative,75,75,TRUE
RepBethVanDuyne,Politics - Conservative,75,75,TRUE
RepBice,Politics - Conservative,75,75,TRUE
RepBillJohnson,Politics - Conservative,75,75,TRUE
RepBlaine,Politics - Conservative,75,75,TRUE
RepBlakeMoore,Politics - Conservative,75,75,TRUE
RepBobGood,Politics - Conservative,75,75,TRUE
RepBoebert,Politics - Conservative,75,75,TRUE
RepBost,Politics - Conservative,75,75,TRUE
RepBradWenstrup,Politics - Conservative,75,75,TRUE
RepBrecheen,Politics - Conservative,75,54,TRUE
RepBrianBabin,Politics - Conservative,75,75,TRUE
RepBrianFitz,Politics - Conservative,75,75,TRUE
RepBrianMast,Politics - Conservative,75,75,TRUE
RepBryanSteil,Politics - Conservative,75,75,TRUE
RepBuddyCarter,Politics - Conservative,75,75,TRUE
RepBurgessOwens,Politics - Conservative,75,75,TRUE
RepCarlos,Politics - Conservative,75,75,TRUE
RepCarolMiller,Politics - Conservative,75,75,TRUE
RepChipRoy,Politics - Conservative,75,75,TRUE
RepChrisStewart,Politics - Conservative,75,75,TRUE
RepChuck,Politics - Conservative,75,75,TRUE
RepCiscomani,Politics - Conservative,75,60,TRUE
RepClayHiggins,Politics - Conservative,75,75,TRUE
RepCloudTX,Politics - Conservative,75,75,TRUE
RepDaleStrong,Politics - Conservative,75,75,TRUE
RepDanBishop,Politics - Conservative,75,75,TRUE
RepDanCrenshaw,Politics - Conservative,75,75,TRUE
repdarrellissa,Politics - Conservative,75,75,TRUE
RepDaveJoyce,Politics - Conservative,75,75,TRUE
RepDavid,Politics - Conservative,75,75,TRUE
RepDavidKustoff,Politics - Conservative,75,75,TRUE
RepDavidRouzer,Politics - Conservative,75,75,TRUE
RepDavidValadao,Politics - Conservative,75,75,TRUE
RepDesposito,Politics - Conservative,75,75,TRUE
RepDLamborn,Politics - Conservative,75,75,TRUE
RepDLesko,Politics - Conservative,75,75,TRUE
RepDonaldsPress,Politics - Conservative,75,75,TRUE
RepDonBacon,Politics - Conservative,75,75,TRUE
RepDrewFerguson,Politics - Conservative,75,75,TRUE
RepDustyJohnson,Politics - Conservative,75,75,TRUE
RepEdwards,Politics - Conservative,75,36,TRUE
RepEllzey,Politics - Conservative,75,75,TRUE
RepEricBurlison,Politics - Conservative,75,66,TRUE
RepEzell,Politics - Conservative,75,65,TRUE
RepFeenstra,Politics - Conservative,75,75,TRUE
repfinstad,Politics - Conservative,75,75,TRUE
RepFischbach,Politics - Conservative,75,75,TRUE
RepFitzgerald,Politics - Conservative,75,75,TRUE
RepFranklin,Politics - Conservative,75,75,TRUE
RepFrankLucas,Politics - Conservative,75,75,TRUE
RepFrenchHill,Politics - Conservative,75,75,TRUE
RepGallagher,Politics - Conservative,75,75,TRUE
RepGarbarino,Politics - Conservative,75,75,TRUE
RepGarretGraves,Politics - Conservative,75,75,TRUE
RepGosar,Politics - Conservative,75,75,TRUE
RepGregMurphy,Politics - Conservative,75,75,TRUE
RepGregPence,Politics - Conservative,75,75,TRUE
RepGregSteube,Politics - Conservative,75,75,TRUE
RepGrothman,Politics - Conservative,75,75,TRUE
RepGusBilirakis,Politics - Conservative,75,75,TRUE
RepGuthrie,Politics - Conservative,75,75,TRUE
RepHageman,Politics - Conservative,75,29,TRUE
RepHalRogers,Politics - Conservative,75,75,TRUE
RepHarshbarger,Politics - Conservative,75,75,TRUE
RepHouchin,Politics - Conservative,75,42,TRUE
RepHuizenga,Politics - Conservative,75,75,TRUE
RepJackBergman,Politics - Conservative,75,75,TRUE
RepJamesComer,Politics - Conservative,75,75,TRUE
RepJasonSmith,Politics - Conservative,75,75,TRUE
RepJeffDuncan,Politics - Conservative,75,75,TRUE
RepJenniffer,Politics - Conservative,75,75,TRUE
RepJerryCarl,Politics - Conservative,75,75,TRUE
RepJimBaird,Politics - Conservative,75,75,TRUE
RepJimBanks,Politics - Conservative,75,75,TRUE
RepJoeWilson,Politics - Conservative,75,75,TRUE
RepJohnCurtis,Politics - Conservative,75,75,TRUE
RepJohnJoyce,Politics - Conservative,75,75,TRUE
RepJohnRose,Politics - Conservative,75,75,TRUE
repjulialetlow,Politics - Conservative,75,75,TRUE
RepKatCammack,Politics - Conservative,75,75,TRUE
RepKayGranger,Politics - Conservative,75,75,TRUE
RepKenBuck,Politics - Conservative,75,75,TRUE
repkevinhern,Politics - Conservative,75,75,TRUE
RepKiley,Politics - Conservative,75,25,TRUE
RepLaHood,Politics - Conservative,75,75,TRUE
RepLaLota,Politics - Conservative,75,48,TRUE
RepLaMalfa,Politics - Conservative,75,75,TRUE
RepLangworthy,Politics - Conservative,75,75,TRUE
RepLarryBucshon,Politics - Conservative,75,75,TRUE
RepLaTurner,Politics - Conservative,75,75,TRUE
RepLaurelLee,Politics - Conservative,75,48,TRUE
RepLisaMcClain,Politics - Conservative,75,75,TRUE
RepLoudermilk,Politics - Conservative,75,75,TRUE
RepLuna,Politics - Conservative,75,75,TRUE
RepMalliotakis,Politics - Conservative,75,75,TRUE
RepMann,Politics - Conservative,75,75,TRUE
RepMariaSalazar,Politics - Conservative,75,75,TRUE
RepMarkAlford,Politics - Conservative,75,18,TRUE
RepMarkGreen,Politics - Conservative,75,75,TRUE
RepMaryMiller,Politics - Conservative,75,75,TRUE
RepMattGaetz,Politics - Conservative,75,75,TRUE
RepMcCaul,Politics - Conservative,75,75,TRUE
RepMcClintock,Politics - Conservative,75,75,TRUE
RepMcCormick,Politics - Conservative,75,66,TRUE
RepMeuser,Politics - Conservative,75,75,TRUE
RepMGriffith,Politics - Conservative,75,75,TRUE
RepMichaelGuest,Politics - Conservative,75,75,TRUE
RepMikeCarey,Politics - Conservative,75,75,TRUE
RepMikeCollins,Politics - Conservative,75,75,TRUE
RepMikeGarcia,Politics - Conservative,75,75,TRUE
RepMikeJohnson,Politics - Conservative,75,75,TRUE
RepMikeLawler,Politics - Conservative,75,75,TRUE
RepMikeRogersAL,Politics - Conservative,75,75,TRUE
RepMikeTurner,Politics - Conservative,75,75,TRUE
RepMMM,Politics - Conservative,75,75,TRUE
RepMolinaroNY19,Politics - Conservative,75,52,TRUE
RepMonicaDLC,Politics - Conservative,75,41,TRUE
RepMoolenaar,Politics - Conservative,75,75,TRUE
RepMTG,Politics - Conservative,75,75,TRUE
RepNancyMace,Politics - Conservative,75,75,TRUE
RepNateMoran,Politics - Conservative,75,25,TRUE
RepNewhouse,Politics - Conservative,75,75,TRUE
RepOgles,Politics - Conservative,75,61,TRUE
RepPatFallon,Politics - Conservative,75,75,TRUE
RepPeteStauber,Politics - Conservative,75,75,TRUE
RepPfluger,Politics - Conservative,75,75,TRUE
RepRalphNorman,Politics - Conservative,75,75,TRUE
RepRichHudson,Politics - Conservative,75,75,TRUE
RepRickAllen,Politics - Conservative,75,75,TRUE
RepRickCrawford,Politics - Conservative,75,75,TRUE
RepRonEstes,Politics - Conservative,75,75,TRUE
RepRonnyJackson,Politics - Conservative,75,75,TRUE
RepRosendale,Politics - Conservative,75,75,TRUE
RepRudyYakym,Politics - Conservative,75,37,TRUE
RepRussellFry,Politics - Conservative,75,53,TRUE
RepRussFulcher,Politics - Conservative,75,75,TRUE
RepRutherfordFL,Politics - Conservative,75,75,TRUE
RepRWilliams,Politics - Conservative,75,75,TRUE
RepRyanZinke,Politics - Conservative,75,75,TRUE
RepSamGraves,Politics - Conservative,75,75,TRUE
RepSantosNY03,Politics - Conservative,75,16,TRUE
RepScottPerry,Politics - Conservative,75,75,TRUE
RepSmucker,Politics - Conservative,75,75,TRUE
RepSpartz,Politics - Conservative,75,75,TRUE
RepSteel,Politics - Conservative,75,75,TRUE
RepStefanik,Politics - Conservative,75,75,TRUE
RepTenney,Politics - Conservative,75,75,TRUE
RepThomasMassie,Politics - Conservative,75,75,TRUE
RepTiffany,Politics - Conservative,75,75,TRUE
RepTimBurchett,Politics - Conservative,75,75,TRUE
RepTimmons,Politics - Conservative,75,75,TRUE
RepTonyGonzales,Politics - Conservative,75,75,TRUE
RepTrentKelly,Politics - Conservative,75,75,TRUE
RepTroyNehls,Politics - Conservative,75,75,TRUE
RepVanOrden,Politics - Conservative,75,58,TRUE
RepWalberg,Politics - Conservative,75,75,TRUE
RepWaltzPress,Politics - Conservative,75,75,TRUE
RepWebster,Politics - Conservative,75,75,TRUE
RepWesleyHunt,Politics - Conservative,75,75,TRUE
RepWesterman,Politics - Conservative,75,75,TRUE
RepWilliams,Politics - Conservative,75,65,TRUE
RepYoungKim,Politics - Conservative,75,75,TRUE
Robert_Aderholt,Politics - Conservative,75,75,TRUE
RobWittman,Politics - Conservative,75,75,TRUE
RodneyDavis,Politics - Conservative,75,75,TRUE
SpeakerMcCarthy,Politics - Conservative,75,75,TRUE
SteveScalise,Politics - Conservative,75,75,TRUE
TomColeOK04,Politics - Conservative,75,75,TRUE
TXRandy14,Politics - Conservative,75,75,TRUE
USRepGaryPalmer,Politics - Conservative,75,75,TRUE
USRepMikeFlood,Politics - Conservative,75,75,TRUE
VernBuchanan,Politics - Conservative,75,75,TRUE
virginiafoxx,Politics - Conservative,75,75,TRUE
WarrenDavidson,Politics - Conservative,75,75,TRUE
RepDuarteCA13,Politics - Conservative,75,21,TRUE
ZachNunn,Politics - Conservative,75,46,TRUE
Lancegooden,Politics - Conservative,75,75,TRUE
JohnJamesMI,Politics - Conservative,75,75,TRUE
RepMaxMiller,Politics - Conservative,75,33,TRUE
RepKeithSelf,Politics - Conservative,75,22,TRUE
RepLCD,Politics - Conservative,75,53,TRUE
TeamPelosi,Politics - Liberal,500,500,TRUE
AOC,Politics - Liberal,500,500,TRUE
staceyabrams,Politics - Liberal,500,500,TRUE
ewarren,Politics - Liberal,500,500,TRUE
SenWarren,Politics - Liberal,500,500,TRUE
JoeBiden,Politics - Liberal,500,500,TRUE
KamalaHarris,Politics - Liberal,500,500,TRUE
BarackObama,Politics - Liberal,500,500,TRUE
HillaryClinton,Politics - Liberal,500,500,TRUE
BillClinton,Politics - Liberal,500,500,TRUE
WhiteHouse,Politics - Liberal,500,500,TRUE
POTUS,Politics - Liberal,500,500,TRUE
MSNBC,Politics - Liberal,500,500,TRUE
HuffPost,Politics - Liberal,500,500,TRUE
CNNPolitics,Politics - Liberal,500,500,TRUE
TheAtlantic,Politics - Liberal,500,500,TRUE
MotherJones,Politics - Liberal,500,500,TRUE
thedailybeast,Politics - Liberal,500,500,TRUE
JoyAnnReid,Politics - Liberal,500,500,TRUE
DNC,Politics - Liberal,500,1,TRUE
Acyn,Politics - Liberal,500,500,TRUE
MeidasTouch,Politics - Liberal,500,500,TRUE
briantylercohen,Politics - Liberal,500,500,TRUE
mmpadellan,Politics - Liberal,500,500,TRUE
MarkRuffalo,Politics - Liberal,500,500,TRUE
Rep_Magaziner,Politics - Liberal,75,25,TRUE
Rep_Peltola,Politics - Liberal,75,75,TRUE
Rep_Stansbury,Politics - Liberal,75,75,TRUE
RepAdams,Politics - Liberal,75,75,TRUE
RepAdamSchiff,Politics - Liberal,75,75,TRUE
RepAdamSmith,Politics - Liberal,75,75,TRUE
RepAlGreen,Politics - Liberal,75,75,TRUE
RepAndreCarson,Politics - Liberal,75,75,TRUE
RepAndyKimNJ,Politics - Liberal,75,75,TRUE
RepAngieCraig,Politics - Liberal,75,75,TRUE
RepAnnaEshoo,Politics - Liberal,75,75,TRUE
RepAnnieKuster,Politics - Liberal,75,75,TRUE
RepAOC,Politics - Liberal,75,75,TRUE
RepAuchincloss,Politics - Liberal,75,75,TRUE
RepBarbaraLee,Politics - Liberal,75,75,TRUE
RepBarragan,Politics - Liberal,75,75,TRUE
RepBeatty,Politics - Liberal,75,75,TRUE
RepBeccaB,Politics - Liberal,75,51,TRUE
RepBera,Politics - Liberal,75,75,TRUE
RepBillFoster,Politics - Liberal,75,75,TRUE
repblumenauer,Politics - Liberal,75,75,TRUE
RepBonamici,Politics - Liberal,75,75,TRUE
RepBonnie,Politics - Liberal,75,75,TRUE
RepBowman,Politics - Liberal,75,75,TRUE
RepBrianHiggins,Politics - Liberal,75,75,TRUE
RepBrownley,Politics - Liberal,75,75,TRUE
RepCarbajal,Politics - Liberal,75,75,TRUE
RepCardenas,Politics - Liberal,75,75,TRUE
RepCartwright,Politics - Liberal,75,75,TRUE
RepCasar,Politics - Liberal,75,72,TRUE
RepCasten,Politics - Liberal,75,75,TRUE
RepChrisPappas,Politics - Liberal,75,75,TRUE
RepChuyGarcia,Politics - Liberal,75,75,TRUE
RepCicilline,Politics - Liberal,75,75,TRUE
repcleaver,Politics - Liberal,75,75,TRUE
RepCohen,Politics - Liberal,75,75,TRUE
RepColinAllred,Politics - Liberal,75,75,TRUE
RepCori,Politics - Liberal,75,75,TRUE
RepCuellar,Politics - Liberal,75,75,TRUE
RepDanGoldman,Politics - Liberal,75,75,TRUE
RepDanKildee,Politics - Liberal,75,75,TRUE
RepDannyDavis,Politics - Liberal,75,75,TRUE
RepDarrenSoto,Politics - Liberal,75,75,TRUE
RepDavids,Politics - Liberal,75,75,TRUE
repdavidscott,Politics - Liberal,75,75,TRUE
RepDavidTrone,Politics - Liberal,75,75,TRUE
RepDean,Politics - Liberal,75,75,TRUE
RepDeanPhillips,Politics - Liberal,75,75,TRUE
RepDebDingell,Politics - Liberal,75,75,TRUE
RepDeborahRoss,Politics - Liberal,75,75,TRUE
RepDelBene,Politics - Liberal,75,75,TRUE
repdeliaramirez,Politics - Liberal,75,75,TRUE
RepDeluzio,Politics - Liberal,75,75,TRUE
RepDerekKilmer,Politics - Liberal,75,75,TRUE
RepDeSaulnier,Politics - Liberal,75,75,TRUE
RepDianaDeGette,Politics - Liberal,75,75,TRUE
repdinatitus,Politics - Liberal,75,75,TRUE
RepDonaldPayne,Politics - Liberal,75,75,TRUE
RepDonBeyer,Politics - Liberal,75,75,TRUE
RepDwightEvans,Politics - Liberal,75,75,TRUE
RepDWStweets,Politics - Liberal,75,75,TRUE
RepEdCase,Politics - Liberal,75,75,TRUE
RepEliCrane,Politics - Liberal,75,53,TRUE
RepEmiliaSykes,Politics - Liberal,75,45,TRUE
RepEricSorensen,Politics - Liberal,75,28,TRUE
RepEscobar,Politics - Liberal,75,75,TRUE
RepEspaillat,Politics - Liberal,75,75,TRUE
RepFletcher,Politics - Liberal,75,75,TRUE
RepGaramendi,Politics - Liberal,75,75,TRUE
RepGlennIvey,Politics - Liberal,75,75,TRUE
RepGolden,Politics - Liberal,75,75,TRUE
RepGonzalez,Politics - Liberal,75,75,TRUE
RepGraceMeng,Politics - Liberal,75,75,TRUE
RepGregLandsman,Politics - Liberal,75,18,TRUE
RepGregoryMeeks,Politics - Liberal,75,75,TRUE
RepGregStanton,Politics - Liberal,75,75,TRUE
RepGwenMoore,Politics - Liberal,75,75,TRUE
RepHaleyStevens,Politics - Liberal,75,75,TRUE
RepHankJohnson,Politics - Liberal,75,75,TRUE
RepHorsford,Politics - Liberal,75,75,TRUE
RepHoulahan,Politics - Liberal,75,75,TRUE
RepHuffman,Politics - Liberal,75,75,TRUE
RepJahanaHayes,Politics - Liberal,75,75,TRUE
RepJasmine,Politics - Liberal,75,75,TRUE
RepJasonCrow,Politics - Liberal,75,75,TRUE
RepJayapal,Politics - Liberal,75,75,TRUE
RepJeffJackson,Politics - Liberal,75,2,TRUE
RepJeffries,Politics - Liberal,75,75,TRUE
RepJerryNadler,Politics - Liberal,75,75,TRUE
RepJillTokuda,Politics - Liberal,75,46,TRUE
RepJimCosta,Politics - Liberal,75,75,TRUE
RepJimmyGomez,Politics - Liberal,75,75,TRUE
RepJimmyPanetta,Politics - Liberal,75,75,TRUE
RepJoeCourtney,Politics - Liberal,75,75,TRUE
RepJoeMorelle,Politics - Liberal,75,75,TRUE
RepJoeNeguse,Politics - Liberal,75,75,TRUE
RepJohnLarson,Politics - Liberal,75,75,TRUE
RepJoshG,Politics - Liberal,75,75,TRUE
RepJoshHarder,Politics - Liberal,75,75,TRUE
RepJuanVargas,Politics - Liberal,75,75,TRUE
RepJudyChu,Politics - Liberal,75,75,TRUE
RepKamlagerDove,Politics - Liberal,75,31,TRUE
RepKatiePorter,Politics - Liberal,75,75,TRUE
RepKClark,Politics - Liberal,75,75,TRUE
RepKimSchrier,Politics - Liberal,75,75,TRUE
RepKManning,Politics - Liberal,75,75,TRUE
RepKweisiMfume,Politics - Liberal,75,75,TRUE
RepLBR,Politics - Liberal,75,75,TRUE
RepLindaSanchez,Politics - Liberal,75,75,TRUE
RepLloydDoggett,Politics - Liberal,75,75,TRUE
RepLoisFrankel,Politics - Liberal,75,75,TRUE
RepLoriTrahan,Politics - Liberal,75,75,TRUE
RepLouCorrea,Politics - Liberal,75,75,TRUE
RepLucyMcBath,Politics - Liberal,75,75,TRUE
RepMarcyKaptur,Politics - Liberal,75,75,TRUE
repmarkpocan,Politics - Liberal,75,75,TRUE
RepMarkTakano,Politics - Liberal,75,75,TRUE
RepMaxineWaters,Politics - Liberal,75,75,TRUE
RepMaxwellFrost,Politics - Liberal,75,65,TRUE
RepMcGarvey,Politics - Liberal,75,32,TRUE
RepMcGovern,Politics - Liberal,75,75,TRUE
RepMenendez,Politics - Liberal,75,55,TRUE
RepMGP,Politics - Liberal,75,45,TRUE
RepMGS,Politics - Liberal,75,75,TRUE
RepMikeLevin,Politics - Liberal,75,75,TRUE
RepMikeQuigley,Politics - Liberal,75,75,TRUE
RepMoskowitz,Politics - Liberal,75,61,TRUE
RepMrvan,Politics - Liberal,75,75,TRUE
RepNikema,Politics - Liberal,75,75,TRUE
RepNikkiB,Politics - Liberal,75,33,TRUE
RepPatRyanNY,Politics - Liberal,75,75,TRUE
RepPaulTonko,Politics - Liberal,75,75,TRUE
RepPeteAguilar,Politics - Liberal,75,75,TRUE
RepPettersen,Politics - Liberal,75,63,TRUE
RepPressley,Politics - Liberal,75,75,TRUE
RepRashida,Politics - Liberal,75,75,TRUE
RepRaskin,Politics - Liberal,75,75,TRUE
RepRaulGrijalva,Politics - Liberal,75,75,TRUE
RepRaulRuizMD,Politics - Liberal,75,75,TRUE
RepRichardNeal,Politics - Liberal,75,75,TRUE
RepRickLarsen,Politics - Liberal,75,75,TRUE
RepRitchie,Politics - Liberal,75,75,TRUE
RepRobertGarcia,Politics - Liberal,75,75,TRUE
RepRobinKelly,Politics - Liberal,75,75,TRUE
RepRoKhanna,Politics - Liberal,75,75,TRUE
RepRubenGallego,Politics - Liberal,75,75,TRUE
RepSalinas,Politics - Liberal,75,28,TRUE
RepSaraJacobs,Politics - Liberal,75,75,TRUE
RepSarbanes,Politics - Liberal,75,75,TRUE
RepSchakowsky,Politics - Liberal,75,75,TRUE
RepSchneider,Politics - Liberal,75,75,TRUE
RepScholten,Politics - Liberal,75,66,TRUE
RepScottPeters,Politics - Liberal,75,75,TRUE
RepSherrill,Politics - Liberal,75,75,TRUE
RepShontelBrown,Politics - Liberal,75,75,TRUE
RepShriThanedar,Politics - Liberal,75,16,TRUE
RepSlotkin,Politics - Liberal,75,75,TRUE
RepSpanberger,Politics - Liberal,75,75,TRUE
RepStenyHoyer,Politics - Liberal,75,75,TRUE
RepStephenLynch,Politics - Liberal,75,75,TRUE
RepStricklandWA,Politics - Liberal,75,75,TRUE
RepSummerLee,Politics - Liberal,75,75,TRUE
RepSusanWild,Politics - Liberal,75,75,TRUE
RepSusieLee,Politics - Liberal,75,75,TRUE
RepSwalwell,Politics - Liberal,75,75,TRUE
RepSylviaGarcia,Politics - Liberal,75,75,TRUE
RepTedLieu,Politics - Liberal,75,75,TRUE
RepTeresaLF,Politics - Liberal,75,75,TRUE
RepTerriSewell,Politics - Liberal,75,75,TRUE
RepThompson,Politics - Liberal,75,75,TRUE
RepTroyCarter,Politics - Liberal,75,75,TRUE
RepUnderwood,Politics - Liberal,75,75,TRUE
repvalhoyle,Politics - Liberal,75,10,TRUE
RepVeasey,Politics - Liberal,75,75,TRUE
RepWexton,Politics - Liberal,75,75,TRUE
RepWileyNickel,Politics - Liberal,75,54,TRUE
RepWilson,Politics - Liberal,75,75,TRUE
RepYvetteClarke,Politics - Liberal,75,75,TRUE
RepZoeLofgren,Politics - Liberal,75,75,TRUE
rosadelauro,Politics - Liberal,75,75,TRUE
SanfordBishop,Politics - Liberal,75,75,TRUE
SpeakerPelosi,Politics - Liberal,75,75,TRUE
StaceyPlaskett,Politics - Liberal,75,75,TRUE
USRepKCastor,Politics - Liberal,75,75,TRUE
USRepKeating,Politics - Liberal,75,75,TRUE
ValerieFoushee,Politics - Liberal,75,27,TRUE
jahimes,Politics - Liberal,75,75,TRUE
Gabe_NM,Politics - Liberal,75,75,TRUE
BennieGThompson,Politics - Liberal,75,75,TRUE
BettyMcCollum04,Politics - Liberal,75,75,TRUE
BillPascrell,Politics - Liberal,75,75,TRUE
BobbyScott,Politics - Liberal,75,75,TRUE
BradSherman,Politics - Liberal,75,75,TRUE
Call_Me_Dutch,Politics - Liberal,75,75,TRUE
chelliepingree,Politics - Liberal,75,75,TRUE
CongBoyle,Politics - Liberal,75,75,TRUE
CongressmanRaja,Politics - Liberal,75,75,TRUE
CongresswomanSC,Politics - Liberal,75,75,TRUE
DonaldNorcross,Politics - Liberal,75,75,TRUE
DorisMatsui,Politics - Liberal,75,75,TRUE
EleanorNorton,Politics - Liberal,75,75,TRUE
FrankPallone,Politics - Liberal,75,75,TRUE
GerryConnolly,Politics - Liberal,75,75,TRUE
gracenapolitano,Politics - Liberal,75,75,TRUE
GuamCongressman,Politics - Liberal,75,46,TRUE
Ilhan,Politics - Liberal,75,75,TRUE
JacksonLeeTX18,Politics - Liberal,75,75,TRUE
JoaquinCastrotx,Politics - Liberal,75,75,TRUE
Kilili_Sablan,Politics - Liberal,75,75,TRUE
NormaJTorres,Politics - Liberal,75,75,TRUE
NydiaVelazquez,Politics - Liberal,75,75,TRUE
NASA,Science / Technology,1200,850,TRUE
NatGeo,Science / Technology,1200,850,TRUE
